FunctionName,Explanation,Definition,Test1,Res1,Test2,Res2,Test3,Res3
lat?,Checks if a list is a list of atoms,"(define lat?
(lambda (l)
(cond
((null? l) #t )
((atom? (car l)) (lat? (cdr l)))
(else #f ))))",(display (lat? ‘(“here” “is” “a” “lat”))),#t,(display (lat? ‘(“is” (“not” “a” “lat”)))),#f,(display (lat? ‘(“is” “a” “lat”))),#t
member?,Checks if an atom is a member of a list,"(define member?
(lambda (m l)
(cond
((null? l) #f )
((eq? m (car l)) #t )
((atom? (car l)) (member? m (cdr l)))
(else #f ))))", (member? “meat” (“meat” “is” “here”)),#t, (member? “meat” (“fish” “is” “here”)),#f, (member? “fish” (“meat” “is” “here”)),#t
rember,Removes the first occurrence of an atom from a list,"(define rember
(lambda (a l)
(cond
((atom? a) 
((null? l) l)
((eq? a (car l)) (rember a (cdr l)))
((else (cons (car l) (rember a (cdr l))))))))",,,,,,
firsts,Returns a list of the first S-expression of each internal list,"(define firsts
(lambda (l)
(cond
((null? l) ())
((cons (car (car l)) (firsts (cdr l))))
(else ())))))",,,,,,
insertR,Inserts an atom to the right of the first occurrence of another atom in a list,"(define insertR
(lambda (new old lat)
(cond
((null? lat) lat)
((atom? (car lat))
(cond
((eq? old (car lat)) (cons (cons lat new) old))
((insertR new old (cdr lat)))
)
)
(else lat)
)))",,,,,,
insertL,Inserts an atom to the left of the first occurrence of another atom in a list,"(define insertL
(lambda (al bl l)
(cond
((atom? al) (insertL al bl l))
((null? l) l)
((eq? (car l) bl) (cons al (cons (car l) l)))
((atom? (car l)) (cons (car l) (insertL al bl (cdr l))))
(else l))))",,,,,,
subst,Substitutes the first occurrence of an old atom with a new atom in a list,"(define subst 
(lambda (old new l)
(cond
((null? l) l)
((eq? (car l) old) (cons new (cdr l)))
((atom? (car l)) (cons (car l) (subst old new (cdr l))))
(else (cons (car l) (subst old new (cdr l)))))))",,,,,,
subst2,Substitutes the first occurrence of either of two old atoms with a new atom,"(define subst2
(lambda (o1 o2 new l)
(cond
((atom? (car l)) 
  (cond
   ((eq? (car l) o1) (cons new (cdr l)))
   ((eq? (car l) o2) (cons new (cdr l)))
   (else (subst2 o1 o2 new (cdr l)))))
 (else l))))",,,,,,
multirember,Removes all occurrences of an atom from a list,"(define multirember
(lambda (a l)
(cond
((null? l) l)
((eq? a (car l)) (multirember a (cdr l)))
((else (cons (car l) (multirember a (cdr l))))))))",,,,,,
multiinsertR,Inserts a new atom to the right of every occurrence of an old atom in a list,"(define multiinsertR
(lambda (old new l)
(cond
((null? l) l)
((eq? (car l) old) (cons (cons (car l) new) (multiinsertR old new (cdr l))))
((atom? (car l)) (cons (car l) (multiinsertR old new (cdr l))))
(else (multiinsertR old new (cdr l)))
)))",,,,,,
multiinsertL,Inserts a new atom to the left of every occurrence of an old atom in a list,"(define multiinsertL
(lambda (old new l)
(cond
((null? l) l)
((eq? (car l) old) (cons new (cons (car l) (multiinsertL old new (cdr l)))))
((atom? (car l)) (cons (car l) (multiinsertL old new (cdr l))))
(else (multiinsertL old new (cdr l))))))",,,,,,
multisubst,Substitutes all occurrences of an old atom with a new atom in a list,"(define multisubst
(lambda (old new l)
(cond
((null? l) l)
((atom? (car l))
(cond
((eq? (car l) old) (cons new (multisubst old new (cdr l))))
(#t (cons (car l) (multisubst old new (cdr l))))))
(else (cons (car l) (multisubst old new (cdr l)))))))",,,,,,
add1,Adds 1 to a number,"(define add1
(lambda (n)
(cond
((atom? n) (cons (car (cons n ())) ()))
(else #f ))))",,,,,,
add,Adds two numbers,"(define add
(lambda (n m)
(cond
((atom? n) (atom? m) (add1 (add1 (cons () n))))
((atom? n) (cond
((null? m) (cons () n))
((atom? (car m)) (add (car m) (add n (cdr m))))
(else (cons () n))))
((cond
((null? n) (cons () m))
((atom? (car n)) (add (car n) (add m (cdr n))))
(else (cons () m)))
(else (cons () ())))))",,,,,,
subtract,Subtracts one number from another,"(define subtcart
(lambda (n m)
(cond
((atom? n) (atom? m) (cons (cons () (add1 (add (- 0) n))) (add1 (add (- 0) m))))
(else #f))))",,,,,,
addtup,Adds all numbers in a tuple (list of numbers),"(define addtup
(lambda (tup)
(cond
((null? tup) 0 )
((atom? (car tup)) (add (car tup) (addtup (cdr tup))))
(else 0 ))))",,,,,,
multiply,Multiplies two numbers,"(define multiply
(lambda (x y)
(cond
((atom? x) (atom? y) (* x y))
(else #f))))",,,,,,
tup+,Adds corresponding elements of two tuples,"(define tup+
(lambda (tup1 tup2)
(cond
((null? tup1) (cons () ()))
((null? tup2) (cons () ()))
((atom? (car tup1)) (atom? (car tup2)) (cons (add (car tup1) (car tup2)) (tup+ (cdr tup1) (cdr tup2))))
(else (cons () ())))))",,,,,,
>,Checks if first number is greater than second,"(define >
(lambda (n l)
(cond
((atom? n) (atom? (car l)) (> (add1 (car l)) n) #t)
((atom? n) (atom? (car l)) (eq? n (car l)) #f)
((atom? n) (null? l) #f)
(else #f))))",,,,,,
